rank,school_name,school_city,school_state,rating,score,earnings_10yr,pred_earnings_10yr_ols,public,score_sat_act,pell_grant_pct,born_in_usa_pct,female_pct,region_high_inc,urban_area,enrollment,black_or_hispanic_pct,overage23,median_hh_income,avg_sat_2011,median_act_2011,avg_net_price_2011,avg_net_price_lowinc_2011,admission_rate_2011,completion_rate_6yr_2011
539,Capital University,Columbus,OH,3.0,0.01,41400.0,41341.0,0,0.08,0.46,0.96,0.67,0,1,2608.0,0.17,0.28,60559.0,1101.0,24.0,21785.0,19654.0,0.76,0.61
540,University of Wisconsin-Parkside,Kenosha,WI,3.0,0.0,36900.0,36885.0,1,-0.91,0.59,0.94,0.62,0,1,4330.0,0.18,0.19,65089.0,970.0,21.0,12864.0,9538.0,0.83,0.28
541,Nazareth College,Rochester,NY,3.0,-0.0,43900.0,43913.0,0,0.67,0.42,0.94,0.76,1,1,1769.0,0.08,0.16,65131.0,,,24245.0,17650.0,0.7,0.74
542,Central Washington University,Ellensburg,WA,3.0,-0.01,44900.0,44939.0,1,-0.58,0.51,0.89,0.53,1,0,7686.0,0.12,0.23,61901.0,1002.0,21.0,14265.0,9516.0,0.78,0.56
543,University of Delaware,Newark,DE,3.0,-0.01,54300.0,54367.0,1,0.79,0.28,0.9,0.6,1,1,16527.0,0.16,0.04,82496.0,1200.0,26.0,14912.0,9956.0,0.61,0.76
544,University of North Florida,Jacksonville,FL,3.0,-0.01,41600.0,41652.0,1,-0.08,0.59,0.91,0.63,0,1,10476.0,0.21,0.3,61711.0,1140.0,25.0,8012.0,3886.0,0.5,0.5
545,Western Illinois University,Macomb,IL,3.0,-0.01,41100.0,41157.0,1,-0.42,0.51,0.94,0.52,0,0,10752.0,0.13,0.13,62817.0,970.0,21.0,16885.0,12388.0,0.66,0.53
546,University of Chicago,Chicago,IL,3.0,-0.02,62800.0,62958.0,0,2.66,0.22,0.85,0.55,0,1,4056.0,0.24,0.24,73688.0,1468.0,33.0,25797.0,10348.0,0.16,0.92
547,University of Maryland-College Park,College Park,MD,3.0,-0.02,59100.0,59228.0,1,1.57,0.45,0.83,0.51,1,1,24518.0,0.29,0.1,88690.0,1290.0,,14868.0,7740.0,0.45,0.82
548,Ohio Dominican University,Columbus,OH,3.0,-0.02,39500.0,39592.0,0,-0.91,0.51,0.94,0.73,0,1,1788.0,0.21,0.57,62830.0,1005.0,22.0,20638.0,17907.0,0.61,0.48
549,University of Redlands,Redlands,CA,3.0,-0.02,53800.0,53922.0,0,0.43,0.4,0.81,0.62,1,1,2500.0,0.33,0.39,68155.0,1134.0,25.0,21442.0,16990.0,0.67,0.7
550,Wichita State University,Wichita,KS,3.0,-0.02,39300.0,39404.0,1,-0.58,0.62,0.93,0.6,0,1,10176.0,0.16,0.33,59093.0,1090.0,24.0,10325.0,10311.0,0.94,0.44
551,University of Idaho,Moscow,ID,3.0,-0.02,39900.0,39967.0,1,0.16,0.65,0.94,0.47,0,0,8558.0,0.07,0.18,52455.0,1078.0,23.0,12551.0,9970.0,0.61,0.51
552,Johns Hopkins University,Baltimore,MD,3.0,-0.02,69200.0,69374.0,0,2.85,0.19,0.86,0.57,1,1,5125.0,0.19,0.31,81751.0,1393.0,31.0,29803.0,11861.0,0.19,0.91
553,Samford University,Birmingham,AL,3.0,-0.02,45800.0,45908.0,0,0.54,0.33,0.95,0.64,0,1,2844.0,0.2,0.22,64304.0,1176.0,26.0,22101.0,16818.0,0.83,0.7
554,Paul Quinn College,Dallas,TX,3.0,-0.02,29500.0,29556.0,0,-4.52,0.81,0.86,0.49,0,1,625.0,0.65,0.31,50637.0,889.0,19.0,13028.0,13028.0,0.43,0.05
555,Buena Vista University,Storm Lake,IA,3.0,-0.03,38100.0,38212.0,0,0.41,0.59,0.97,0.65,0,0,2605.0,0.04,0.31,50701.0,1050.0,23.0,16519.0,14725.0,0.64,0.55
